date,temperature,humidity,soil_moisture,crop_recommendation
2024-01-01,25,65,30,Wheat
2024-01-02,26,70,35,Rice
2024-01-03,22,60,25,Barley
2024-01-04,24,55,28,Maize
2024-01-05,27,75,32,Millet
2024-01-06,23,68,30,Peas
2024-01-07,20,60,27,Chickpeas
2024-01-08,28,72,34,Soybean
2024-01-09,21,66,29,Tomato
2024-01-10,25,69,31,Cucumber
2024-01-11,26,71,33,Potato
2024-01-12,22,64,28,Carrot
2024-01-13,24,67,32,Lettuce
2024-01-14,27,73,35,Beans
2024-01-15,23,65,30,Onion
2024-01-16,20,63,26,Garlic
2024-01-17,28,74,34,Peppers
2024-01-18,21,67,28,Spinach
2024-01-19,25,70,31,Radish
2024-01-20,26,72,33,Beetroot
2024-01-21,22,69,29,Turnip
2024-01-22,24,71,32,Brussels Sprouts
2024-01-23,27,74,34,Cabbage
2024-01-24,23,66,30,Swiss Chard
2024-01-25,20,62,27,Parsley
2024-01-26,28,75,35,Kale
2024-01-27,21,68,29,Radicchio
2024-01-28,25,71,31,Arugula
2024-01-29,26,72,33,Endive
2024-01-30,22,65,28,Mustard Greens
